Model,Recall,F1-Score,AUC,Accuracy,Precision,Category,Train/Val Diff
Attention MLP,0.9272727272727272,0.9272727272727272,0.987972027972028,0.9333333333333332,0.9272727272727272,딥러닝(좌표),0.0417821056062581
1D-CNN,0.9181818181818182,0.90990990990991,0.9667132867132868,0.9166666666666666,0.9017857142857144,딥러닝(좌표),0.1422343546284223
MLP,0.9090909090909092,0.9174311926605504,0.9825874125874128,0.925,0.925925925925926,딥러닝(좌표),0.0626765536723163
XGBoost,0.8636363636363636,0.8636363636363636,0.9534965034965036,0.875,0.8636363636363636,머신러닝,0.0
ResNet50,0.8181818181818182,0.7407407407407407,0.8086713286713288,0.7375,0.6766917293233082,딥러닝(이미지),0.0602727075184702
Random Forest,0.8090909090909091,0.827906976744186,0.9275524475524476,0.8458333333333333,0.8476190476190476,머신러닝,0.0
EfficientNetB0,0.8090909090909091,0.7416666666666667,0.8127272727272729,0.7416666666666667,0.6846153846153846,딥러닝(이미지),0.0498696219035201
MobileNetV3Small,0.7272727272727273,0.7142857142857143,0.8229370629370629,0.7333333333333333,0.7017543859649122,딥러닝(이미지),0.0211117448935245
Logistic Regression,0.7090909090909091,0.6666666666666666,0.7339860139860142,0.675,0.6290322580645161,머신러닝,0.0
Decision Tree,0.6636363636363637,0.7053140096618358,0.7367832167832168,0.7458333333333333,0.7525773195876289,머신러닝,0.0
